"cellID","avg_intensity_dapi","nuclear_area","nuclear_perimeter","major_axis","minor_axis","axes_ratio","circularity","eccentricity","solidity","x_pos","y_pos","angle","imageID","avg_intensity_core_dapi","avg_intensity_internal_ring_dapi","avg_intensity_external_ring_dapi","total_intensity_core_dapi","total_intensity_internal_ring_dapi","total_intensity_external_ring_dapi","total_intensity_dapi","avg_intensity_beta3","total_intensity_beta3","avg_intensity_rfp","total_intensity_rfp","avg_intensity_ngn2","total_intensity_ngn2","dna_peaks","dna_dots","dna_dots_size_median","spatial_entropy","beta3_group","rfp_group","ngn2_group","experiment","path2ong"
61,1727,134,44,14,12.2,0.871,0.889,0.491,0.981,1801,579,0.287797944,"Snap-357",1973,1332,655,2435110,1114757,634560,4493891,925,2406654,4510,11735222,1734,4511817,21,21,0.566819,3.843,2,4,3,"Day1","test"
86,1443,168,56,22.8,9.6,0.423,0.668,0.906,0.971,158,825,-0.591575748,"Snap-357",1583,1162,418,2513549,1343529,538817,4710019,749,2445460,3801,12402473,1735,5661584,17,16,1.133638,3.862,2,4,3,"Day1","test"
174,1793,125,45,17.1,9.4,0.552,0.76,0.834,0.972,1522,1377,0.549354528,"Snap-357",1974,1478,681,2267766,1309615,697104,4349169,1345,3262460,3767,9135277,5275,12791526,12,10,1.442812,3.776,3,4,4,"Day1","test"
60,1810,133,43,14.5,11.7,0.802,0.895,0.597,0.981,1606,1044,-1.483086619,"Snap-358",2170,1378,515,2556596,1175837,506920,4669070,838,2161367,4544,11718168,1679,4329579,12,12,0.721406,3.736,2,4,3,"Day1","test"
79,1690,129,46,18.1,9.2,0.505,0.778,0.863,0.98,601,1308,0.923053697,"Snap-358",2063,1246,400,2361841,1182757,431853,4243836,1719,4317253,7241,18181728,8548,21464988,7,7,2.421863,3.729,3,4,4,"Day1","test"
87,1587,142,46,17.1,10.6,0.618,0.825,0.786,0.976,606,1368,1.447160177,"Snap-358",1867,1192,401,2359453,1078578,420833,4366557,1610,4428031,7523,20696813,9013,24795080,12,10,1.597399,3.707,3,4,4,"Day1","test"
96,1368,164,48,15.1,13.8,0.913,0.911,0.408,0.983,63,1254,-0.212320291,"Snap-359",1517,1095,383,2152180,1042882,413993,4355908,1196,3806089,4943,15733357,7602,24197562,14,11,2.627979,3.824,3,4,4,"Day1","test"
45,1466,172,49,15.9,13.7,0.862,0.908,0.506,0.983,400,347,0.427453435,"Snap-360",1739,1023,410,2670582,990689,449824,4883074,795,2647015,4070,13556941,4420,14724214,10,9,3.246327,3.765,2,4,3,"Day1","test"
58,1554,165,50,17.6,12,0.683,0.826,0.731,0.964,374,439,1.071887586,"Snap-360",1738,1242,635,2708914,1242348,722317,4986611,754,2420205,4267,13693249,4928,15812839,12,13,1.236696,3.823,2,4,3,"Day1","test"
106,1730,143,56,23.6,8.3,0.353,0.563,0.935,0.899,1064,862,0.532586194,"Snap-360",1874,1534,955,2530175,1777897,1245360,4792942,1459,4043628,5371,14882102,3480,9643914,16,13,0.875993,3.749,3,4,3,"Day1","test"
14,2162,103,43,17.5,7.6,0.434,0.718,0.901,0.968,1015,75,-1.08128606,"Snap-361",2445,1794,538,2320249,1552204,538279,4332840,1287,2578746,6036,12095261,3104,6220650,11,8,1.339754,3.803,3,4,3,"Day1","test"
46,1406,168,49,15.7,13.6,0.866,0.891,0.499,0.983,1487,728,-1.342338632,"Snap-361",1621,1074,380,2355943,1064087,422852,4590903,995,3249193,7276,23757751,9317,30418431,14,10,1.855044,3.752,2,4,4,"Day1","test"
53,2263,96,36,11.8,10.3,0.875,0.92,0.483,0.981,1272,931,-1.256285105,"Snap-361",2748,1687,452,2297264,1211164,383664,4197735,861,1596759,4552,8443280,2653,4922214,7,6,0.772935,3.723,2,4,3,"Day1","test"
29,2236,197,53,19.2,13.1,0.68,0.87,0.733,0.985,142,289,-0.292500522,"Snap-362",2594,1612,545,4710324,1739155,658944,8559130,1284,4916781,4720,18069840,3124,11957562,15,12,1.9838665,3.757,3,4,3,"Day1","test"
73,1832,121,44,17.5,8.9,0.507,0.774,0.862,0.969,711,980,0.096786927,"Snap-362",2176,1358,473,2454317,1158744,466180,4301735,753,1767008,9630,22611967,13349,31343017,8,9,1.442812,3.817,2,5,5,"Day1","test"
36,2024,105,39,14.3,9.4,0.655,0.87,0.756,0.981,281,303,-0.88772816,"Snap-363",2512,1438,433,2268628,1139234,398495,4112422,917,1863897,4230,8595372,8168,16597330,6,8,1.185167,3.679,2,4,4,"Day1","test"
91,1694,135,43,14.4,11.9,0.825,0.916,0.565,0.984,979,774,-0.726488828,"Snap-363",2005,1288,442,2396260,1120528,441777,4440821,902,2362885,5380,14101265,9398,24633304,7,5,2.834095,3.703,2,4,4,"Day1","test"
127,2040,106,39,14.1,9.6,0.683,0.866,0.731,0.98,646,1172,-0.809025715,"Snap-363",2691,1285,424,2512990,1003403,390311,4183165,810,1661024,4038,8282175,5625,11537087,8,9,2.06116,3.711,2,4,4,"Day1","test"
8,1498,157,49,17.9,11.2,0.624,0.836,0.782,0.978,142,60,0.321462363,"Snap-364",1697,1246,647,2447125,1207628,713898,4555677,1437,4370659,5659,17214310,11035,33567965,18,13,1.185167,3.812,3,4,4,"Day1","test"
36,1818,115,43,16.5,8.9,0.538,0.792,0.843,0.974,48,309,1.26004428,"Snap-364",2112,1402,398,2183795,1175055,386930,4062483,1969,4399834,6006,13416711,3974,8877587,11,12,0.9017575,3.796,3,4,3,"Day1","test"
31,1392,168,52,19.2,11.4,0.594,0.777,0.805,0.959,124,294,-0.801675778,"Snap-365",1678,947,338,2477228,1016521,408371,4525786,1433,4660430,4975,16177658,2722,8850464,5,5,3.452443,3.696,3,4,3,"Day1","test"
12,2860,76,35,13.3,7.4,0.554,0.76,0.832,0.966,958,132,-1.184554886,"Snap-366",3421,2271,1156,2158894,1578691,970630,4213100,691,1017657,6368,9379648,8162,12022620,5,5,1.54587,3.662,2,4,4,"Day1","test"
18,2282,100,39,14.4,8.8,0.616,0.841,0.788,0.976,862,221,-0.514008806,"Snap-366",2829,1578,460,2407275,1195929,412175,4412931,801,1548940,8083,15632435,9533,18437233,9,7,1.494341,3.741,2,5,4,"Day1","test"
21,1907,122,44,16.9,9.4,0.554,0.788,0.832,0.976,942,264,-0.335959234,"Snap-366",2377,1328,390,2695935,1142043,387073,4513507,929,2199291,8319,19690661,2752,6513887,6,5,2.679508,3.705,2,5,3,"Day1","test"
87,1565,145,47,16.4,11.4,0.694,0.832,0.72,0.974,76,823,0.773568189,"Snap-366",1802,1212,358,2268980,1144914,392014,4392127,1118,3137837,3955,11100542,1908,5356891,9,10,1.54587,3.712,2,4,3,"Day1","test"
99,1430,106,40,13.2,10.5,0.8,0.815,0.601,0.979,22,868,1.024330115,"Snap-366",1610,1098,366,1497327,657981,242976,2928432,1074,2200557,3720,7618410,2153,4409860,15,13,0.875993,3.822,2,4,3,"Day1","test"
149,1726,133,43,15.1,11.3,0.748,0.887,0.664,0.981,1339,1284,0.767487858,"Snap-366",2070,1216,403,2333030,1077394,409434,4452123,887,2288542,8195,21142654,4287,11061355,10,9,2.370334,3.745,2,5,3,"Day1","test"
48,1872,123,41,12.8,12.2,0.957,0.929,0.29,0.984,522,601,1.305370298,"Snap-367",2141,1528,477,2252096,1246512,450441,4465905,1648,3932712,8528,20348769,11527,27503095,11,11,1.133638,3.817,3,5,4,"Day1","test"
